30753	ID:25	bCast#: 1
30764	ID:18	1,0
30764	ID:19	1,0
30764	ID:23	1,0
30764	ID:28	1,0
30764	ID:31	1,0
30764	ID:17	1,0
30764	ID:24	1,0
30764	ID:26	1,0
30764	ID:11	1,0
30764	ID:33	1,0
30764	ID:39	1,0
30764	ID:32	1,0
30771	ID:4	1,0
30771	ID:6	1,0
30771	ID:12	1,0
30771	ID:13	1,0
30771	ID:3	1,0
30771	ID:10	1,0
30775	ID:30	1,0
30775	ID:46	1,0
30777	ID:16	1,0
30777	ID:15	1,0
30777	ID:38	1,0
30784	ID:37	1,0
30784	ID:44	1,0
30784	ID:45	1,0
30784	ID:20	1,0
30784	ID:27	1,0
30784	ID:21	1,0
30784	ID:41	1,0
30790	ID:40	1,0
30790	ID:2	1,0
30790	ID:9	1,0
30790	ID:5	1,0
30790	ID:35	1,0
30791	ID:14	1,0
30792	ID:34	1,0
30797	ID:42	1,0
30797	ID:7	1,0
30798	ID:8	1,0
30799	ID:22	1,0
30799	ID:29	1,0
30804	ID:48	1,0
30804	ID:49	1,0
30804	ID:1	1,0
30809	ID:47	1,0
30819	ID:36	1,0
30819	ID:43	1,0
60753	ID:25	bCast#: 2
60787	ID:33	2,0
60787	ID:18	2,0
60787	ID:19	2,0
60787	ID:11	2,0
60787	ID:24	2,0
60787	ID:26	2,0
60788	ID:17	2,0
60788	ID:32	2,0
60788	ID:31	2,0
60788	ID:3	2,0
60788	ID:40	2,0
60788	ID:34	2,0
60788	ID:16	2,0
60793	ID:41	2,0
60793	ID:28	2,0
60793	ID:4	2,0
60793	ID:21	2,0
60793	ID:10	2,0
60793	ID:12	2,0
60793	ID:20	2,0
60794	ID:39	2,0
60794	ID:5	2,0
60794	ID:35	2,0
60799	ID:7	2,0
60799	ID:14	2,0
60799	ID:13	2,0
60800	ID:27	2,0
60804	ID:6	2,0
60808	ID:23	2,0
60808	ID:30	2,0
60808	ID:38	2,0
60810	ID:48	2,0
60811	ID:42	2,0
60813	ID:2	2,0
60813	ID:9	2,0
60813	ID:1	2,0
60815	ID:49	2,0
60818	ID:47	2,0
60818	ID:44	2,0
60818	ID:45	2,0
60818	ID:37	2,0
60819	ID:8	2,0
60819	ID:36	2,0
60820	ID:15	2,0
60821	ID:46	2,0
60824	ID:43	2,0
60835	ID:22	2,0
60837	ID:29	2,0
90753	ID:25	bCast#: 3
90758	ID:23	3,0
90758	ID:19	3,0
90758	ID:26	3,0
90758	ID:33	3,0
90758	ID:18	3,0
